"","id","PriceUSD","FinishedSqFt","No_Bed","No_Bath","AirCon","Gara_Size","Pool","YearBuilt","Quality","Style","LotSize","AdjHw"
"166",166,330000,2230,3,2,1,2,0,1986,2,1,24798,0
"330",330,205000,1974,3,2,1,2,0,1954,2,1,26196,0
"448",448,167900,2180,4,2,0,2,0,1948,3,3,15001,0
"170",170,399900,3262,5,4,1,2,0,1978,2,7,25541,0
"86",86,609000,2654,5,3,1,3,0,1997,1,1,12821,0
"232",232,208000,2068,3,2,1,2,0,1979,2,1,34773,0
"344",344,190000,1919,3,4,1,2,0,1938,2,7,20093,0
"369",369,214200,1794,3,3,1,3,0,1976,2,2,24308,0
"245",245,315000,2764,3,3,1,3,0,1972,2,7,23947,0
"498",498,147000,1526,3,2,1,1,0,1957,3,1,15007,0
"56",56,360000,2304,5,4,1,3,0,1978,2,1,70240,0
"323",323,258000,2012,5,3,1,2,0,1967,2,2,21303,0
"405",405,184000,1592,4,2,0,2,0,1977,3,1,25943,0
"182",182,291000,2840,4,4,1,2,0,1965,2,7,23079,0
"377",377,169200,1964,4,2,1,2,0,1964,2,7,18162,0
"240",240,218500,2548,2,2,1,2,0,1984,2,3,10210,0
"52",52,160000,1496,2,2,0,1,0,1900,3,5,43335,0
"254",254,180000,1500,2,1,1,0,0,1938,2,3,39776,0
"249",249,276000,2330,3,3,1,2,0,1989,2,7,17433,0
"200",200,333000,2736,4,3,1,2,1,1979,2,7,29591,0
"259",259,290000,2734,4,3,1,2,0,1971,2,7,23488,0
"350",350,217950,1640,4,2,1,2,0,1979,2,3,21314,0
"110",110,529000,3351,5,4,1,3,0,1994,1,7,24216,0
"257",257,219900,2612,3,3,1,2,0,1986,2,7,11288,0
"384",384,159900,1795,1,2,1,2,0,1980,2,11,26467,0
"214",214,310000,2866,5,3,1,3,0,1961,2,7,25249,0
"126",126,550000,2742,3,3,1,3,0,1991,1,1,22306,0
"415",415,195250,1668,3,1,1,2,0,1956,3,3,17060,0
"16",16,527000,3232,5,5,1,2,0,1984,2,6,21445,0
"365",365,165000,1552,3,1,1,3,0,1959,2,3,27068,0
"185",185,264000,1788,3,3,0,2,0,1969,2,1,18484,0
"207",207,224900,2611,3,3,1,2,0,1987,2,7,6924,0
"6",6,248000,1966,4,3,1,5,1,1972,2,1,18902,0
"94",94,535000,3588,4,5,1,3,0,1987,1,7,22530,0
"154",154,395000,3045,4,3,1,1,0,1991,2,7,34356,0
"496",496,150000,1700,4,2,1,1,0,1954,3,1,15391,0
"34",34,272000,2560,4,2,1,3,0,1977,2,5,36100,0
"246",246,315000,2004,4,3,1,2,0,1967,2,3,24453,0
"481",481,190000,1592,3,2,1,2,0,1959,3,1,22748,0
"514",514,200000,1370,4,1,0,1,0,1925,3,4,8000,0
"44",44,175000,1624,3,2,1,2,0,1948,3,1,39219,0
"308",308,189000,1676,3,3,0,2,0,1965,2,3,21780,0
"63",63,253000,2222,4,2,0,2,0,1955,2,1,71527,1
"99",99,480000,3608,6,4,1,3,0,1981,1,7,25219,0
"325",325,198500,2192,4,2,1,2,0,1963,2,2,22851,0
"69",69,585000,2558,2,4,1,3,1,1984,1,3,24601,0
"217",217,304000,2300,5,3,1,2,0,1961,2,3,35824,0
"103",103,479000,5032,7,3,1,3,0,1989,1,7,22000,0
"180",180,249000,2001,3,3,1,2,0,1981,2,3,23812,0
"509",509,155000,1340,3,1,0,0,0,1952,3,1,5666,0
"59",59,355000,2060,2,3,1,2,0,1997,2,1,38623,1
"446",446,350000,2981,5,4,1,2,0,1950,3,6,49756,0
"216",216,307000,2707,4,4,1,2,0,1992,2,7,22094,0
"101",101,610000,3251,3,4,1,3,1,1985,1,1,25570,0
"470",470,173000,1590,2,2,1,2,0,1956,3,1,22336,0
"372",372,208000,1984,5,3,1,2,0,1961,2,1,22047,0
"399",399,236000,1940,4,3,1,2,0,1959,3,1,15073,0
"164",164,295000,2536,3,3,1,3,0,1987,2,7,39427,0
"388",388,195000,1742,1,1,1,2,0,1961,3,1,18250,0
"189",189,369500,3138,4,4,1,2,0,1969,2,7,18190,0
"234",234,320000,2200,4,3,1,2,0,1968,2,1,31450,0
"198",198,275000,2554,5,3,1,2,0,1960,2,7,21820,0
"380",380,185000,2061,3,2,1,2,0,1956,2,2,25379,0
"181",181,330000,2607,5,2,1,2,0,1976,2,3,23139,0
"431",431,175000,1672,3,1,1,2,0,1949,3,1,22617,0
"153",153,400000,3540,4,4,1,3,1,1980,2,7,18012,0
"40",40,171900,1580,2,1,0,1,0,1951,3,4,12417,0
"160",160,437632,2936,4,3,1,3,0,1980,2,5,22844,0
"117",117,545500,3233,4,4,1,3,0,1991,1,7,22961,0
"453",453,190000,1760,3,2,1,2,0,1974,3,2,20193,0
"80",80,647000,2464,3,3,1,3,0,1992,1,1,31703,0
"167",167,400000,2631,4,4,0,2,0,1985,2,7,44885,0
"475",475,153200,1592,4,2,0,1,0,1956,3,1,16396,0
"190",190,285400,2460,5,4,1,2,0,1979,2,7,27492,0
"241",241,377000,2767,3,3,1,3,0,1941,2,4,75232,0
"494",494,147000,1534,3,2,0,1,0,1955,3,3,15361,0
"192",192,333000,2692,5,4,1,3,0,1984,2,7,22020,0
"120",120,367000,2940,4,7,1,2,0,1988,1,7,22003,0
"54",54,84000,980,1,1,0,1,0,1951,3,1,17686,0
"31",31,164500,1460,3,2,1,2,0,1978,2,1,9999,0
"437",437,173500,1586,3,2,1,1,0,1958,3,1,15862,0
"346",346,259500,2108,4,4,1,2,0,1978,2,7,24685,0
"18",18,335250,2747,3,4,1,2,0,1993,2,7,22241,0
"516",516,132000,1567,2,1,1,1,0,1934,3,4,12249,0
"473",473,162500,1622,3,1,1,1,0,1956,3,3,16120,0
"169",169,340000,2756,4,3,1,2,1,1973,2,7,22546,0
"324",324,241850,2090,4,4,1,2,0,1963,2,7,22010,0
"242",242,220000,2025,3,3,1,2,0,1989,2,3,19618,0
"407",407,255000,1792,2,2,1,2,0,1955,3,1,31257,0
"298",298,218400,2036,4,3,1,2,0,1960,2,7,21996,0
"233",233,421000,2101,3,3,0,2,0,1956,2,1,65499,0
"458",458,149900,1511,4,1,1,1,0,1954,3,1,14821,0
"368",368,205150,1814,3,3,1,2,0,1978,2,2,18714,0
"361",361,239550,2791,5,3,1,3,0,1946,2,4,22863,0
"114",114,442500,2702,4,3,1,3,0,1991,1,1,39643,0
"168",168,325000,2638,4,3,1,2,0,1978,2,3,25747,0
"287",287,262000,2288,3,2,1,2,0,1963,2,3,16975,0
"81",81,780000,4419,4,5,1,7,0,1987,1,1,56127,0
"326",326,243000,2228,4,4,1,2,0,1965,2,7,21881,0
"149",149,430000,3076,6,4,1,3,0,1984,2,7,26648,0
"195",195,239000,2058,3,3,1,2,0,1969,2,2,21046,0
"138",138,489500,2866,4,4,0,2,0,1982,2,7,22424,0
"306",306,209900,2030,3,3,1,2,0,1959,2,1,21914,0
"76",76,399000,2629,3,3,1,2,0,1989,1,9,24778,0
"362",362,242000,2514,4,3,1,1,0,1953,2,5,17535,0
"455",455,165000,1636,3,1,0,2,0,1953,3,1,20125,0
"304",304,307000,2664,4,3,1,2,0,1962,2,7,22684,0
"270",270,202150,1644,4,3,1,2,0,1976,2,2,19499,0
"313",313,227900,1798,3,3,1,2,0,1978,2,2,17820,0
"414",414,188000,1608,4,2,1,2,0,1969,3,2,19380,0
"352",352,185000,1701,3,2,1,1,0,1982,2,2,21938,0
"188",188,360000,2588,3,3,1,2,1,1968,2,2,19004,0
"339",339,240000,1705,4,2,1,2,0,1972,2,1,42322,0
"402",402,205000,1864,3,2,1,2,0,1940,3,1,25628,0
"208",208,265000,2060,4,3,1,2,0,1981,2,2,13091,0
"124",124,400000,2537,3,3,1,2,0,1993,1,1,11053,0
"48",48,145000,1896,3,2,0,2,0,1925,3,6,32753,0
"93",93,649000,3210,3,5,1,3,0,1995,1,1,30033,0
"45",45,149500,1580,2,1,1,2,0,1966,3,1,11166,0
"1",1,360000,3032,4,4,1,2,0,1972,2,1,22221,0
"213",213,350000,2525,3,3,1,3,0,1983,2,4,27138,0
"315",315,208500,1904,3,3,1,2,0,1978,2,2,15559,0
"284",284,221000,2786,4,3,1,2,0,1976,2,7,22875,0
"460",460,219900,1821,4,2,1,2,0,1956,3,1,16696,0
"485",485,186000,1953,3,2,1,1,0,1956,3,1,17129,0
"130",130,451500,4080,5,4,1,3,0,1983,1,7,22134,0
"343",343,280000,2816,5,3,1,2,0,1946,2,5,29109,0
"348",348,183900,1746,3,2,1,2,0,1974,2,2,52136,0
"67",67,188700,1748,3,2,1,2,0,1972,3,1,23939,1
"204",204,325000,2718,4,4,1,3,0,1978,2,6,22842,0
"366",366,185000,1566,4,2,1,2,0,1993,2,2,13504,0
"29",29,160000,2208,2,2,1,2,0,1985,2,7,8058,0
"219",219,315000,3636,5,3,1,2,0,1976,2,7,19776,0
"131",131,336000,3301,3,4,1,2,0,1977,1,3,18741,0
"150",150,430000,4022,6,4,1,3,0,1986,2,7,18429,0
"432",432,159900,1650,2,2,1,1,0,1957,3,1,14997,0
"438",438,161800,1592,2,1,0,1,0,1951,3,1,18686,0
"404",404,180000,1652,3,2,1,2,0,1959,3,3,21875,0
"19",19,323900,2890,4,3,1,2,0,1954,2,7,41992,0
"35",35,180000,2061,4,2,0,2,0,1958,2,1,20138,0
"4",4,205500,1638,4,2,1,2,0,1963,2,1,17342,0
"386",386,169900,1708,3,1,0,1,0,1950,3,1,11413,0
"463",463,155900,1748,2,1,1,2,0,1956,3,1,16231,0
"444",444,186900,1650,3,2,1,2,0,1961,3,1,22000,0
"203",203,520000,2138,5,3,1,3,0,1956,2,1,86830,0
"161",161,447500,2526,2,2,1,0,0,1996,2,1,28248,0
"209",209,299900,2448,4,4,1,3,0,1979,2,7,26790,0
"53",53,112000,1668,2,1,0,1,0,1948,3,1,19612,0
"419",419,249900,1916,2,2,1,2,0,1954,3,1,20576,0
"406",406,144900,1520,3,1,0,1,0,1953,3,4,36359,0
"421",421,174900,1809,3,1,1,2,0,1958,3,2,16782,0
"449",449,184900,1704,2,2,1,2,0,1954,3,1,16759,0
"121",121,470000,3430,3,4,1,2,1,1966,1,7,25018,0
"519",519,185000,1944,3,2,1,2,0,1939,3,6,17999,0
"32",32,280000,2540,3,2,0,2,0,1940,2,5,42428,0
"500",500,177500,1588,4,2,1,2,0,1980,3,2,21925,0
"193",193,362000,2958,5,4,1,3,0,1987,2,7,45200,0
"518",518,137000,1655,2,1,0,1,0,1935,3,1,54651,0
"440",440,177000,1952,4,2,1,2,0,1963,3,1,24377,0
"336",336,188000,1719,2,3,1,2,0,1960,2,1,22009,0
"291",291,213000,1888,3,2,1,3,0,1958,2,1,14757,0
"390",390,171000,1512,2,1,0,1,0,1956,3,1,14774,0
"511",511,146000,1412,1,2,1,0,0,1920,3,1,4560,0
"247",247,465900,2852,4,3,1,2,1,1961,2,7,34040,0
"483",483,144900,1388,2,1,1,2,0,1950,3,1,10568,0
"375",375,216000,2132,4,3,1,2,0,1976,2,1,41332,0
"349",349,290000,2703,3,3,0,4,0,1963,2,1,43599,0
"300",300,220000,1826,4,3,1,2,0,1952,2,1,19870,0
"282",282,280000,1802,4,3,1,2,0,1956,2,1,27700,0
"468",468,229100,1956,3,2,1,2,1,1984,3,6,14710,0
"299",299,156000,1384,2,1,0,2,0,1961,2,1,26706,0
"398",398,229500,2329,3,2,1,2,0,1960,3,7,28179,0
"162",162,318500,2449,4,4,1,2,0,1985,2,3,22075,0
"175",175,295000,1954,3,3,1,3,1,1962,2,3,19300,0
"492",492,158000,1604,3,2,1,1,0,1960,3,1,23534,0
"452",452,207000,1666,4,2,0,1,0,1954,3,1,39523,0
"187",187,250000,1480,3,3,1,2,0,1984,2,3,14230,0
"521",521,124000,1480,3,2,1,2,0,1953,3,1,28351,0
"260",260,300000,2228,4,3,1,2,0,1982,2,3,21232,0
"465",465,175000,1628,3,1,1,2,1,1957,3,1,17069,0
"145",145,440000,2892,4,4,1,2,0,1977,2,6,35839,0
"89",89,625100,3648,4,4,1,3,0,1992,1,7,26604,0
"256",256,260000,2442,4,3,1,2,0,1969,2,2,21149,0
"78",78,665000,4746,4,4,1,3,0,1996,1,7,23368,0
"123",123,530000,2878,4,4,1,3,0,1992,1,1,68351,0
"273",273,285000,2561,3,3,1,3,0,1981,2,7,18985,0
"7",7,229900,2216,3,2,1,2,0,1972,2,7,18639,0
"353",353,288000,2250,3,2,1,2,0,1949,2,4,23684,0
"237",237,222000,2612,4,3,1,2,0,1985,2,7,8229,0
"268",268,177900,1584,3,2,1,2,0,1989,2,2,13947,0
"218",218,275900,1860,3,3,1,2,0,1957,2,1,40741,0
"251",251,235000,2528,3,3,1,2,0,1977,2,3,26469,0
"13",13,535000,3381,5,4,1,3,0,1988,1,7,23172,0
"25",25,295000,3266,3,3,1,2,0,1908,2,6,24881,0
"364",364,175000,1930,3,2,1,2,0,1956,2,2,15923,0
"416",416,175000,1944,3,2,1,2,0,1951,3,1,43562,0
"426",426,157000,1600,3,1,0,2,0,1950,3,5,10807,0
"311",311,264670,1984,4,3,1,2,0,1966,2,1,31204,0
"301",301,171500,1681,3,2,1,1,0,1957,2,1,15985,0
"224",224,297000,1970,4,3,1,2,0,1972,2,3,25814,0
